frameIndex,renderDurationMs,heapUsedMB,rssMB
195,69,7.09,150.83
196,55,7.18,158.75
197,52,7.26,166.66
198,54,6.56,102.99
199,55,6.65,110.93
200,68,6.76,118.90
201,77,6.84,126.82
202,73,6.93,134.73
203,68,7.02,142.64
204,55,7.11,150.56
205,57,7.20,158.47
206,59,7.28,166.40
207,66,6.58,103.09
208,58,6.67,111.00
209,50,6.75,118.92
210,50,6.84,126.83
211,56,6.93,134.75
212,49,7.02,142.66
213,48,7.11,150.57
214,51,7.19,158.49
215,75,7.28,166.41
216,60,6.58,103.09
217,72,6.67,111.01
218,52,6.76,118.92
219,54,6.84,126.84
220,68,6.93,134.75
221,55,7.02,142.66
222,59,7.11,150.58
223,52,7.19,158.49
224,65,7.28,166.41
225,58,6.58,103.09
226,55,6.67,111.01
227,55,6.76,118.92
228,54,6.85,126.84
229,75,6.93,134.75
230,55,7.02,142.66
231,54,7.11,150.58
232,54,7.20,158.49
233,59,7.29,166.41
234,55,6.58,103.09
235,54,6.67,111.01
236,55,6.76,118.92
237,64,6.85,126.84
238,66,6.94,134.75
239,81,7.02,142.66
240,86,7.11,150.58
241,70,7.20,158.49
242,66,7.29,166.41
243,118,6.58,103.09
244,143,6.67,111.01
245,62,6.76,118.92
246,75,6.85,126.84
247,52,6.94,134.75
248,62,7.02,142.68
249,57,7.11,150.59
250,83,7.20,158.50
251,61,7.29,166.42
252,57,6.58,103.29
253,59,6.67,111.20
254,64,6.76,119.12
255,56,6.86,127.04
256,50,6.94,134.95
257,52,7.03,142.86
258,54,7.12,150.78
259,65,7.21,158.69
260,56,7.29,166.61
261,54,6.59,103.29
262,51,6.68,111.21
263,59,6.77,119.12
264,52,6.85,127.04
265,50,6.94,134.95
266,53,7.03,142.86
267,51,7.12,150.78
268,56,7.20,158.69
269,53,7.29,166.61
270,53,6.59,103.29
271,52,6.68,111.21
272,51,6.77,119.12
273,60,6.86,127.04
274,54,6.94,134.95
275,54,7.03,142.86
276,56,7.12,150.78
277,69,7.21,158.69
278,56,7.29,166.61
279,58,6.59,103.29
280,53,6.68,111.21
281,59,6.77,119.12
282,49,6.86,127.04
283,49,6.94,134.95
284,52,7.03,142.86
285,54,7.12,150.78
286,62,7.21,158.69
287,53,7.29,166.61
288,54,6.60,103.29
289,52,6.68,111.21
290,50,6.77,119.12
291,61,6.86,127.04
292,52,6.95,134.95
293,52,7.03,142.87
294,63,7.12,150.78
295,68,7.21,158.70
296,54,7.30,166.61
297,58,6.60,103.30
298,58,6.68,111.21
299,57,6.77,119.13
300,70,6.86,127.04
301,54,6.95,134.95
302,56,7.03,142.87
303,52,7.12,150.78
304,63,7.21,158.70
305,53,7.30,166.61
306,51,6.60,103.30
307,50,6.68,111.21
308,55,6.77,119.13
309,59,6.86,127.04
310,52,6.95,134.95
311,51,7.03,142.87
312,50,7.12,150.78
313,60,7.21,158.70
314,48,7.30,166.61
315,52,6.60,103.30
316,46,6.69,111.21
317,50,6.77,119.13
318,54,6.86,127.04
